indicativo,p_max,hr,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_cub,n_des,n_nub
3182Y,,67.0,1.0,2.4,,11.8,0.0,,0.0,0.0,4.0,,176.0,80.0,0.0,11.0,8.0,9.0,6.7,8.8,15.1,2.0,01-11-2013,,,
3182Y,,,,,,,,,,,,,,109.0,,,9.0,,,,,,01-11-2014,,,
3182Y,,,,,,,,,,,,,,,,,5.0,,,,,,01-11-2015,,,
3182Y,,,,,,,,,2.0,,13.0,,,,0.0,82.1,,,,,,10.0,01-11-2016,,,
3182Y,,,,1.8,,11.5,0.0,,,,,,,,,,5.0,17.0,9.0,9.4,17.0,,01-11-2017,,,
3182Y,,79.0,1.0,5.5,,11.9,0.0,,0.0,0.0,19.0,,172.0,101.0,0.0,37.8,7.0,2.0,11.1,10.4,15.2,9.0,01-11-2018,,,
3182Y,,76.0,5.0,5.8,,14.2,0.0,,0.0,0.0,15.0,,291.0,97.0,0.0,33.2,12.0,3.0,8.2,9.9,13.9,10.0,01-11-2019,,,
3182Y,,80.0,1.0,6.0,,12.0,0.0,,1.0,0.0,12.0,,117.0,109.0,0.0,48.8,6.0,1.0,10.9,11.2,16.5,7.0,01-11-2020,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-11-2021,4.0,11.0,15.0
3182Y,,74.0,3.0,6.1,,13.0,0.0,,,0.0,,,203.0,105.0,,,9.0,1.0,13.2,11.7,17.2,,01-11-2022,10.0,3.0,17.0
3182Y,,80.0,2.0,6.1,,12.6,0.0,,2.0,0.0,9.0,,226.0,110.0,1.0,65.0,10.0,3.0,12.1,11.3,16.3,5.0,01-11-2023,8.0,7.0,15.0
3182Y,,77.0,0.0,6.3,,13.2,0.0,,0.0,0.0,2.0,,128.0,111.0,0.0,0.6,5.0,1.0,11.3,12.3,18.2,0.0,01-11-2024,5.0,7.0,18.0
3182Y,,83.0,6.0,1.9,,10.7,0.0,,5.0,0.0,21.0,,202.0,84.0,0.0,107.6,8.0,8.0,1.3,5.9,10.0,15.0,01-12-2009,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-12-2010,,,
3182Y,,77.0,1.0,0.0,,6.9,0.0,,0.0,0.0,5.0,,129.0,73.0,0.0,3.2,6.0,20.0,4.9,6.1,12.0,1.0,01-12-2011,,,
3182Y,,82.0,1.0,1.5,,10.5,0.0,,0.0,0.0,10.0,,143.0,83.0,0.0,7.8,7.0,14.0,3.8,6.5,11.4,2.0,01-12-2012,,,
3182Y,,72.0,2.0,-1.1,,8.1,0.0,,2.0,0.0,7.0,,145.0,66.0,0.0,40.4,6.0,23.0,8.1,5.7,12.5,6.0,01-12-2013,,,
3182Y,,74.0,1.0,0.0,,7.5,0.0,,0.0,0.0,13.0,,124.0,72.0,0.0,8.6,5.0,17.0,6.8,6.3,12.7,1.0,01-12-2014,,,
3182Y,,,,,,,,,,,,,,,,,,,,,,,01-12-2015,,,
3182Y,,81.0,0.0,2.3,,10.3,0.0,,0.0,0.0,10.0,,108.0,86.0,0.0,14.6,4.0,11.0,6.2,7.9,13.4,4.0,01-12-2016,,,
3182Y,,74.0,2.0,-0.2,,9.6,0.0,,1.0,0.0,3.0,,175.0,72.0,0.0,16.4,8.0,20.0,6.7,5.8,11.8,3.0,01-12-2017,,,
3182Y,,83.0,1.0,1.0,,6.9,0.0,,0.0,0.0,7.0,,83.0,82.0,0.0,10.6,4.0,15.0,7.1,6.8,12.5,3.0,01-12-2018,,,
3182Y,,81.0,6.0,4.4,,11.6,0.0,,2.0,0.0,11.0,,221.0,92.0,1.0,61.4,9.0,3.0,7.3,8.9,13.3,6.0,01-12-2019,,,
3182Y,,77.0,3.0,2.4,,12.2,0.0,,0.0,0.0,11.0,,227.0,82.0,0.0,20.4,10.0,8.0,7.9,6.9,11.3,6.0,01-12-2020,,,
3182Y,,77.0,1.0,2.1,,8.4,0.0,,0.0,0.0,8.0,,169.0,87.0,0.0,19.0,8.0,10.0,10.4,8.3,14.5,5.0,01-12-2021,8.0,7.0,15.0
3182Y,,85.0,0.0,6.1,,13.0,0.0,,4.0,0.0,14.0,,139.0,106.0,1.0,110.6,6.0,1.0,8.1,9.8,13.5,12.0,01-12-2022,18.0,5.0,8.0
3182Y,,80.0,0.0,0.9,,11.0,0.0,,1.0,0.0,10.0,,108.0,80.0,0.0,21.6,5.0,16.0,3.7,6.6,12.2,3.0,01-12-2023,9.0,13.0,9.0
3182Y,,73.0,0.0,-0.7,,5.8,0.0,,0.0,0.0,7.0,,108.0,73.0,0.0,2.4,5.0,21.0,9.7,6.6,13.9,0.0,01-12-2024,4.0,13.0,14.0
