fecha;mag007;mag008;mag012;mag014
2010-07-12;6.0;26.0;35.0;74.0
2010-07-13;12.0;32.0;51.0;68.0
2010-07-14;6.0;23.0;31.0;78.0
2010-07-15;6.0;32.0;41.0;66.0
2010-07-16;8.0;35.0;47.0;72.0
2010-07-17;4.0;18.0;24.0;96.0
2010-07-18;4.0;19.0;26.0;81.0
2010-07-19;7.0;36.0;47.0;86.0
2010-07-20;6.0;26.0;35.0;93.0
2010-07-21;7.0;25.0;36.0;71.0
2010-07-22;9.0;24.0;37.0;63.0
2010-07-23;4.0;11.0;16.0;83.0
2010-07-24;4.0;11.0;16.0;92.0
2010-07-25;3.0;9.0;15.0;78.0
2010-07-26;4.0;11.0;16.0;78.0
2010-07-27;6.0;24.0;34.0;81.0
2010-07-28;8.0;31.0;44.0;80.0
2010-07-29;5.0;18.0;26.0;81.0
2010-07-30;5.0;16.0;24.0;72.0
2010-07-31;4.0;20.0;27.0;87.0
2010-08-01;4.0;20.0;26.0;86.0
2010-08-02;6.0;25.0;34.0;79.0
2010-08-03;4.0;10.0;16.0;76.0
2010-08-04;4.0;14.0;21.0;77.0
2010-08-05;3.0;12.0;17.0;72.0
2010-08-06;3.0;14.0;19.0;87.0
2010-08-07;4.0;21.0;27.0;84.0
2010-08-08;5.0;32.0;40.0;64.0
2010-08-09;9.0;29.0;43.0;74.0
2010-08-10;7.0;30.0;40.0;71.0
2010-08-11;14.0;34.0;55.0;76.0
2010-08-12;4.0;21.0;27.0;79.0
2010-08-13;3.0;8.0;13.0;72.0
2010-08-14;3.0;11.0;16.0;81.0
2010-08-15;3.0;11.0;16.0;83.0
2010-08-16;4.0;10.0;16.0;80.0
2010-08-17;5.0;20.0;27.0;70.0
2010-08-18;6.0;27.0;36.0;88.0
2010-08-19;5.0;26.0;34.0;70.0
2010-08-20;8.0;31.0;43.0;69.0
2010-08-21;4.0;25.0;31.0;80.0
2010-08-22;4.0;18.0;24.0;83.0
2010-08-23;10.0;23.0;38.0;60.0
2010-08-24;11.0;23.0;40.0;63.0
2010-08-25;11.0;41.0;57.0;57.0
2010-08-26;10.0;37.0;52.0;59.0
2010-08-27;5.0;22.0;30.0;65.0
2010-08-28;3.0;14.0;19.0;83.0
2010-08-29;3.0;11.0;15.0;86.0
2010-08-30;5.0;21.0;28.0;82.0
2010-08-31;10.0;29.0;45.0;66.0
2010-09-01;5.0;20.0;27.0;63.0
2010-09-02;11.0;32.0;49.0;50.0
2010-09-03;6.0;30.0;39.0;67.0
2010-09-04;4.0;32.0;38.0;78.0
2010-09-05;6.0;34.0;44.0;77.0
2010-09-06;13.0;38.0;58.0;49.0
2010-09-07;5.0;13.0;20.0;64.0
2010-09-08;5.0;17.0;24.0;64.0
2010-09-09;9.0;26.0;39.0;62.0
2010-09-10;24.0;33.0;69.0;56.0
2010-09-11;13.0;30.0;51.0;59.0
2010-09-12;10.0;25.0;40.0;63.0
2010-09-13;5.0;24.0;31.0;67.0
2010-09-14;16.0;38.0;62.0;60.0
2010-09-15;22.0;44.0;78.0;42.0
2010-09-16;8.0;40.0;53.0;44.0
2010-09-17;7.0;22.0;33.0;51.0
2010-09-18;4.0;17.0;23.0;52.0
2010-09-19;7.0;24.0;36.0;49.0
2010-09-20;7.0;31.0;43.0;41.0
2010-09-21;22.0;44.0;78.0;33.0
2010-09-22;13.0;37.0;56.0;46.0
2010-09-23;10.0;33.0;49.0;46.0
2010-09-24;5.0;15.0;22.0;64.0
2010-09-25;3.0;10.0;15.0;71.0
2010-09-26;4.0;17.0;23.0;63.0
2010-09-27;9.0;33.0;47.0;46.0
2010-09-28;14.0;34.0;55.0;47.0
2010-09-29;7.0;33.0;44.0;49.0
2010-09-30;0.0;0.0;0.0;42.0
2010-10-01;0.0;0.0;0.0;46.0
2010-10-02;18.0;41.0;69.0;52.0
